MTX,1993-05-10,13.6517,13.3857,12.827,12.6332,12.3625,11.2983,11.0352,10.807,10.4342,10.1449,12.3625,13.6517,10.1449,11.2983,10.1449,13.6517,1.2892,1.1534,3.5068,29,0
MTX,1993-05-24,13.208,13.2243,12.9243,12.7731,12.5424,11.5281,11.2625,11.0292,10.6424,10.3382,12.5424,13.2243,10.3382,11.5281,10.3382,13.2243,0.6819,1.1899,2.8861,31,0
MTX,1993-06-07,13.1699,13.172,12.9856,12.8677,12.6737,11.7239,11.4604,11.2257,10.8309,10.5159,12.6737,13.172,10.5159,11.7239,10.5159,13.172,0.4983,1.208,2.6561,33,0
MTX,1993-06-01,13.0466,13.1113,12.9172,12.7903,12.5852,11.6157,11.3526,11.1197,10.7304,10.4217,12.5852,13.1113,10.4217,11.6157,10.4217,13.1113,0.5261,1.194,2.6896,32,0
MTX,1992-11-16,9.2387,8.8847,8.5039,8.4274,8.3467,8.1705,8.1437,8.1233,8.0942,8.0747,8.3467,9.2387,8.0747,8.1705,8.0747,9.2387,0.892,0.0958,1.164,4,0
MTX,1993-06-21,13.4957,13.3819,13.1586,13.0479,12.8663,11.9434,11.6786,11.4401,11.0343,10.7067,12.8663,13.4957,10.7067,11.9434,10.7067,13.4957,0.6294,1.2367,2.789,35,0
MTX,1993-06-14,13.115,13.1347,12.9991,12.8973,12.722,11.8101,11.5493,11.3152,10.9183,10.5993,12.722,13.1347,10.5993,11.8101,10.5993,13.1347,0.4127,1.2108,2.5354,34,0
MTX,1993-06-28,13.3362,13.3135,13.1619,13.0677,12.9051,12.023,11.7618,11.5248,11.1183,10.7877,12.9051,13.3362,10.7877,12.023,10.7877,13.3362,0.4311,1.2353,2.5485,36,0
MTX,1992-10-26,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,7.9729,0,0,0,1,0
MTX,1993-05-17,13.5308,13.3938,12.933,12.7527,12.4934,11.4345,11.1671,10.934,10.5509,10.2519,12.4934,13.5308,10.2519,11.4345,10.2519,13.5308,1.0374,1.1826,3.2789,30,0
MTX,1993-07-19,13.3132,13.3058,13.2232,13.158,13.0341,12.2536,12.0033,11.7713,11.3644,11.0262,13.0341,13.3132,11.0262,12.2536,11.0262,13.3132,0.2791,1.2274,2.287,39,0
MTX,1993-07-06,13.3147,13.3068,13.1858,13.1024,12.9536,12.105,11.8469,11.6111,11.2036,10.8699,12.9536,13.3147,10.8699,12.105,10.8699,13.3147,0.3611,1.2351,2.4448,37,0
MTX,1993-08-23,13.4269,13.4166,13.3573,13.3149,13.2294,12.5885,12.3589,12.1393,11.7397,11.3958,13.2294,13.4269,11.3958,12.5885,11.3958,13.4269,0.1975,1.1927,2.0311,44,0
MTX,1993-08-16,13.3856,13.3908,13.3327,13.287,13.1953,12.5278,12.2937,12.0711,11.6691,11.3256,13.1953,13.3908,11.3256,12.5278,11.3256,13.3908,0.1955,1.2022,2.0652,43,0
MTX,1993-08-30,13.8036,13.6712,13.5069,13.448,13.3483,12.6912,12.4601,12.2389,11.8354,11.4871,13.3483,13.8036,11.4871,12.6912,11.4871,13.8036,0.4553,1.2041,2.3165,45,0
MTX,1993-08-09,13.478,13.4395,13.3415,13.2859,13.1813,12.475,12.2349,12.0084,11.6028,11.2589,13.1813,13.478,11.2589,12.475,11.2589,13.478,0.2967,1.2161,2.2191,42,0
MTX,1993-09-07,14.1378,13.9382,13.6824,13.6055,13.4888,12.8061,12.5719,12.3478,11.9388,11.585,13.4888,14.1378,11.585,12.8061,11.585,14.1378,0.649,1.2211,2.5528,46,0
MTX,1993-07-12,13.2748,13.2829,13.1947,13.1228,12.9888,12.1779,11.924,11.6903,11.2833,10.9474,12.9888,13.2829,10.9474,12.1779,10.9474,13.2829,0.2941,1.2305,2.3355,38,0
MTX,1993-10-04,13.6524,13.68,13.65,13.6153,13.5464,12.9999,12.7891,12.5813,12.1898,11.8412,13.5464,13.68,11.8412,12.9999,11.8412,13.68,0.1336,1.1587,1.8388,50,0
MTX,1993-08-02,13.5461,13.4543,13.3263,13.2633,13.1486,12.4105,12.1658,11.9365,11.529,11.186,13.1486,13.5461,11.186,12.4105,11.186,13.5461,0.3975,1.2245,2.3601,41,0
